# Task 2D: periodicity check on the residual correlation floor (follow-up to
# Task 2C). Single stacked table, discriminated by the 'table' column:
#
#   table='acf_long'      : per (variant, layer), lag k=1..56 -- n_pairs,
#                           flag_low_n (n_pairs<80), acf (point estimate,
#                           mean similarity over original-adjacent valid
#                           pairs), acf_ci95_lo/hi (block=64 adjacency-
#                           preserving moving-block bootstrap, 1000 resamples).
#   table='diurnal'       : per (variant, layer), bin_label in
#                           {0-6h,6-12h,12-18h,18-24h} = (hour-of-day(t+k) -
#                           hour-of-day(t)) mod 24, pooled over all valid pairs
#                           at lags 1-56. bin_mean_sim, bin_n_pairs.
#   table='weekly'        : per (variant, layer), bin_label in {0d..6d} =
#                           (dow(t+k) - dow(t)) mod 7, pooled over all valid
#                           pairs at lags 1-56. bin_mean_sim, bin_n_pairs.
#   table='floor_summary' : per (variant, layer) -- floor_lag12_16 (mean ACF
#                           lags 12-16, recomputed here, exact match to Task
#                           2C's 'floor' column), floor_mid_19_25 (lags 19-25,
#                           between-band), floor_far_26_32 (lags 26-32, weekly
#                           recurrence band, ~168h/dt=29.26 lags), each with
#                           block=64 bootstrap 95% CI; n_pairs_*_min = minimum
#                           n_pairs across the lags in that band.
#
# variants: per_month_incl / detrended = layer-centroid variants from Task 2C
#   (per-month-centered / linear-detrended), 3 layers, n=210 rows, dt=5.7405h,
#   cosine similarity. phi_t_detrended = comparison aggregate scalar (Task 2
#   Analysis C linearly-detrended phi_t on its regular 6h grid, n=225,
#   layer='aggregate'); 'similarity' = standardized-product z(t)*z(t+k), whose
#   lag-mean is the standard biased-autocovariance ACF estimator (cosine
#   similarity is undefined for a 1-d scalar).
#
# Bootstrap: single block=64 (smallest multiple of 8 exceeding lag 56; a block
# of length Lb can only contain pairs up to lag Lb-1, so block=24 from Task 2C
# cannot reach lag 56) adjacency-preserving moving-block bootstrap, 1000
# resamples, fixed seed = 42+offset (see floor_summary.boot_seed; offsets
# 300-302/310-312/320, distinct from Tasks 2B/2C). block=64 (Lb-1=63>=56)
# covers every lag 1-56, superseding Task 2C's block=8 for the short lags too.
table,variant,layer,lag,n_pairs,flag_low_n,acf,acf_ci95_lo,acf_ci95_hi,bin_label,bin_mean_sim,bin_n_pairs,dt_hours,n_series_rows,floor_lag12_16,floor_lag12_16_ci95_lo,floor_lag12_16_ci95_hi,floor_mid_19_25,floor_mid_ci95_lo,floor_mid_ci95_hi,floor_far_26_32,floor_far_ci95_lo,floor_far_ci95_hi,n_pairs_floor_min,n_pairs_mid_min,n_pairs_far_min,boot_seed,n_boot,boot_block
acf_long,per_month_incl,surface,44.0,107.0,False,-0.03653840312706616,-0.10210365931221914,0.03247717390681699,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,45.0,106.0,False,-0.04417728972344595,-0.1068434634368055,0.01889564179257982,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,46.0,105.0,False,-0.05756000798714716,-0.163850650650876,0.02986196262814327,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,47.0,104.0,False,-0.054517670830281445,-0.17959854828259306,0.025231327561037943,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,48.0,103.0,False,-0.04243981029101111,-0.11269499376352905,0.03302259287669831,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,49.0,102.0,False,-0.060976976047130434,-0.12773644977741472,0.01569568796506591,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,50.0,101.0,False,-0.07729255296671776,-0.16781881752125202,0.017032974578129398,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,51.0,100.0,False,-0.0823201370525283,-0.23253848156508752,0.03518800417962342,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,52.0,99.0,False,-0.049637155050557845,-0.15186166405923293,0.024660920643543565,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,53.0,98.0,False,-0.06946126633537374,-0.15557319685405907,0.01769855675184039,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,54.0,97.0,False,-0.06867462579575227,-0.19861755234589085,0.0018782245671107793,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,55.0,96.0,False,-0.07039437290098498,-0.22483879395559436,0.02945248455004272,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,surface,56.0,95.0,False,-0.0685287656562565,-0.17588301973190293,0.015711738535928974,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,1.0,202.0,False,0.27710228821183447,0.22522937413274136,0.28563136331644867,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,2.0,195.0,False,0.24059537939440584,0.18044275445031904,0.24765217839179085,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,3.0,189.0,False,0.22525295156786654,0.17365846822133663,0.23064709403172912,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,4.0,184.0,False,0.23735217679075318,0.1933963156955538,0.23954562749291916,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,5.0,181.0,False,0.1857216126138339,0.12128547708790736,0.18445215352659916,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,6.0,178.0,False,0.1661039852467113,0.10103746662826679,0.16557364287090978,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,7.0,175.0,False,0.1619458244883601,0.11208728517427269,0.1695552368644552,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,8.0,172.0,False,0.15761576350696874,0.11155666199113838,0.15775917401088643,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,9.0,169.0,False,0.118865770299345,0.07498714533238468,0.12208166287662718,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,10.0,166.0,False,0.1140407956019398,0.06726560322207575,0.11838132924707068,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,11.0,163.0,False,0.11812319343266604,0.0763614353319117,0.12978286073259485,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,12.0,161.0,False,0.1021477590374915,0.07408697664412733,0.10949119607164973,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,13.0,159.0,False,0.07553044405487133,0.038371124195517206,0.08930404628271395,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,14.0,157.0,False,0.06571730839331678,0.03586417421378823,0.08536251000760586,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,15.0,155.0,False,0.058032087102928495,0.032704214536052545,0.06633094230026938,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,16.0,153.0,False,0.04761772057736644,0.018498061417643923,0.05487856951042191,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,17.0,151.0,False,0.04629959107262534,0.029958431121400616,0.06037808177888669,,,,,,,,,,,,,,,,,,,,
