step_i,ts_from,ts_to,month_from,month_to,is_boundary,global_drift,adjacency,residual_drift_surface,raw_drift_surface,ratio_resid_raw_surface,residual_drift_mid,raw_drift_mid,ratio_resid_raw_mid,residual_drift_residue,raw_drift_residue,ratio_resid_raw_residue
28,2026-04-11 18:45:09.941678+00:00,2026-04-12 02:35:25.854725+00:00,2026-04,2026-04,False,0.047797184863710394,original,0.0628089641873784,0.08056181637207077,0.7796368927097956,0.06055842605169381,0.08233858677804666,0.7354805131030019,0.0701203090499581,0.07818572450782624,0.8968428634684992
29,2026-04-12 02:35:25.854725+00:00,2026-04-12 07:15:49.658033+00:00,2026-04,2026-04,False,0.05672359665666174,original,0.059543594272294116,0.07619063197445944,0.78150807690182,0.06762609044707907,0.09301654732328946,0.7270329032106191,0.062178767131068624,0.08473804377934803,0.733776286988378
30,2026-04-12 07:15:49.658033+00:00,2026-04-12 13:02:43.887000+00:00,2026-04,2026-04,False,0.04539741559146925,original,0.06543093635144998,0.07713866853249315,0.8482248604522967,0.0741628537522651,0.09047129025856625,0.8197390966825856,0.06426613786975006,0.07719340901499289,0.8325340037420549
31,2026-04-12 13:02:43.887000+00:00,2026-04-12 18:52:10.974406+00:00,2026-04,2026-04,False,0.047309452862364446,original,0.07260910250348102,0.08824714617093317,0.8227926415075051,0.07054095371653041,0.08488122986100048,0.8310548024816161,0.0691422089777836,0.08216399857935378,0.8415146557285212
32,2026-04-12 18:52:10.974406+00:00,2026-04-13 02:40:29.718169+00:00,2026-04,2026-04,False,0.05259096274820432,original,0.07529697733994756,0.1002706852484728,0.7509370974513649,0.07588295115662554,0.09802850095338983,0.774090702383647,0.07913866145985515,0.07952618551278516,0.9951270886383994
33,2026-04-13 02:40:29.718169+00:00,2026-04-13 08:04:59.179560+00:00,2026-04,2026-04,False,0.0536187018365321,original,0.06769998892696973,0.09327778725185247,0.7257889677869178,0.06811453497510249,0.07847606510371079,0.867965727959029,0.06680879667597299,0.08632469078547052,0.7739245408014565
34,2026-04-13 08:04:59.179560+00:00,2026-04-13 13:27:15.788462+00:00,2026-04,2026-04,False,0.06004950953807967,original,0.07061332944172163,0.09137896529699642,0.7727525608570516,0.07962611669329578,0.08901897627720301,0.8944847494689437,0.08126032032214171,0.11168317924804591,0.7275967685488637
35,2026-04-13 13:27:15.788462+00:00,2026-04-13 19:15:38.801745+00:00,2026-04,2026-04,False,0.046792752891097474,original,0.06520968528981742,0.08014221543866594,0.8136746024911601,0.06542242880211689,0.07866276911432725,0.8316822499222338,0.06865944420024146,0.0848798695032603,0.8089013873613955
36,2026-04-13 19:15:38.801745+00:00,2026-04-14 02:34:12.432450+00:00,2026-04,2026-04,False,0.06084402552043836,original,0.06352470373611423,0.08824585052737231,0.7198605187267132,0.07133777165865218,0.09928340765641055,0.7185266233561437,0.06650762521928114,0.08372091031915761,0.7943968235145
37,2026-04-14 02:34:12.432450+00:00,2026-04-14 07:49:24.161015+00:00,2026-04,2026-04,False,0.055639545270658994,original,0.06886070904572933,0.09235630134100052,0.7455983841479304,0.07206729650644889,0.09620252697783586,0.7491206184537387,0.07023227023217765,0.07981683930959217,0.8799179576600614
38,2026-04-14 07:49:24.161015+00:00,2026-04-14 13:27:10.863717+00:00,2026-04,2026-04,False,0.0572524181583223,original,0.06283488046630605,0.08371116362465524,0.7506153032114757,0.06841168404869467,0.08253304543083081,0.8289005172604353,0.0666325477773193,0.09530231016926644,0.6991703313274698
39,2026-04-14 13:27:10.863717+00:00,2026-04-14 19:17:22.625382+00:00,2026-04,2026-04,False,0.05465971760257405,original,0.06232393167098449,0.08605585378039855,0.724226521882238,0.06458800074584846,0.08090616464650502,0.7983075335241284,0.06829299102381604,0.08792866640394023,0.77668630512467
